,sentence_input,sentence_ouput
57,"But Hellhound includes a number of smart ways to tackle threats to tires, with tech like the Meritor Central Tire Inflation System that keeps tires at the right pressure and reduces wear and tear.",number tackle tech pressure 
58,"Betty Squier, of Austin, took her daughter Daisy to Austin Children's Dentistry for a dental crown procedure, but halfway through, a complication occurred and the office called an ambulance to take Daisy Lynn to the hospital.",daughter procedure complication office ambulance take hospital 
59,Reduce stress.,stress 
60,"Metro.co.uk reported that the piece, which will depict a young boy in a wheelchair with his support dog, will be part of the brand's Fun in the Park set.",piece depict boy wheelchair support dog be part brand set 
61,American cities are being upgraded to pinpoint shooters and help police fight gun violence.,pinpoint help fight gun violence 
62,"Unlike a satellite, the Zephyr can be landed, modified with alternative tech, and quickly re-launched to provide different capabilities as required.",satellite be tech re-launched provide 
63,"Beyond combat, the enhanced wading will mean better support in humanitarian aid and disaster response.",Beyond combat wading mean support aid disaster response 
64,"On Dec. 5, the company will begin shipping the free rifles to the chosen qualified U.S, citizens who can bring the guns into the fight against terrorism legally.",company begin chosen bring guns fight terrorism 
65,"He noted that while many people believe Vitamin E can help boost things like sexual health, there's really no need for supplementing your diet with this vitamin.",help boost health need diet vitamin 
66,Five warfighters working together can launch the lightweight drone from flat ground.,launch drone ground 
67,"To help protect them from the sort of weather that hunters encounter, they are fiberglass reinforced and there is a waterproof casing.",help protect sort weather casing 
68,"In electronic warfare, radio waves, laser light or other directed energy are weaponized to disrupt, disable, or confuse the enemy's electronics.",warfare radio laser light energy disrupt confuse enemy 
69,"That explains why people with sleep disorders, such as insomnia and sleep apnea, commonly battle with their weight, said Dr. Brian Quebbemann, a bariatric surgeon with the Chapman Medical Center in California and president of The N.E.W.",insomnia apnea battle weight surgeon president 
70,"Crew can use either a special high-tech lens that mounts on their helmets, or a touchscreen display.",use display 
71,"Maybe you haven't thought about going under the knife yourself, but the world of plastic surgery is hard to escape these days not that it's necessary to name names or anything.",knife world plastic surgery escape name anything 
72,The receptors help determine what type of therapy you will receive for the cancer; there are specific therapies directed at each type of receptor that improve the outcome.,determine type therapy receive cancer type receptor outcome 
73,This flying motorcycle could provide three options: it could be flown by a warfighter; it could fly itself around using advanced autonomy; or a mix could be employed where a warfighter flies it and lets the smart vehicle do some of its own flying as well.,motorcycle provide be warfighter fly autonomy mix be warfighter vehicle flying 
74,This new light tank has potential to provide a solution for rapid deployment and mobility with significant firepower and protection.,light tank provide solution deployment mobility firepower protection 
75,"Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.",hunter deploy drive fish water trap 
76,Non-surgical weight loss may also curb incontinence.,loss curb incontinence 
77,"With no vaccine or drugs to treat Zika, concerns about the virus are growing.",vaccine treat virus 
78,"Temporary side effects can include vomiting, nausea, cramping, and discomfort.",side include nausea cramping discomfort 
79,They also enlisted the staff at their local Taco Bell to help set up a photoshoot.,staff help set photoshoot 
80,"Their voices grew faint, and no one could hear him.",faint one hear 
81,Big breakthroughs may restore a sense of touch to U.S. military personnel who have lost limbs in service of the country.,restore sense touch service country 
82,"Courtney has no current plans to attend college and instead is focusing on making it big in the entertainment industry, a dream her mother has always supported.",attend college entertainment industry dream mother 
83,"You'll get a bonus boost of protein, too.",get bonus boost protein 
84,The Justice Department declined through a spokeswoman to comment Tuesday.,spokeswoman comment 
85,"It looks like a cool pen, writes like a pen but this pen is also a glass breaker and a way to defend yourself against an attacker.",pen pen pen glass breaker way defend attacker 
86,"In their study of different types of so-called bariatric surgeries, the biggest impact on diabetes remission was seen with gastric bypass, which can reduce the size of the stomach from about three pints to roughly the size of a shot glass.",study impact remission bypass reduce size stomach size glass 
87,It is also enough power to run installations like a field hospital or command center.,power run field hospital command center 
88,"During the Cold War, it was designed to beat air defense systems, penetrating deep into Soviet Union airspace and deliver a nuclear bomb if necessary.",beat air defense airspace deliver bomb 
89,"In both daylight and at night, the drone can provide images and data.",daylight night drone provide 
90,"Sometimes it can be done very quickly, but more often it can take a year from detection to solution.",be take year detection solution 
91,The process is similar to how our brains see color.,process color 
92,"They then turn the sugars into acid, which deconstructs the enamel of tooth and causes decay.",acid enamel tooth decay 
93,Take your March Madness to the next level with a Tank.,Take level Tank 
94,This new vehicle is competing to become the U.S. Army's new light reconnaissance vehicle.,vehicle become reconnaissance vehicle 
95,I was good friends with a core group of people at work; we'd go to happy hours and do things on the weekends.,core group work go 
96,This is a new generation of machines helping to fight fires.,generation fight 
97,Body armor innovation is important because it can save lives.,innovation save 
98,Enthusiastic locals all seem to have their own theory on the genesis of the mysterious occurrence.,have theory genesis occurrence 
99,"Various doctors gave Liz and Max three options: to continue the pregnancy without treatment and hope it didn't spread; to terminate the baby and immediately begin chemotherapy; or to undergo chemotherapy during the pregnancy, which also risked harming the fetus.",continue pregnancy treatment hope spread terminate baby begin chemotherapy undergo chemotherapy pregnancy fetus 
100,It takes just two warfighters to move the laser around the battle space and deliver focused firepower.,move laser battle space deliver firepower 
101,"By pinpointing the location, first responders know where to exactly find victims to render aid as quickly as possible.",location find render aid 
102,The Rafale fighter jet can conduct air-to-air attacks and interceptions.,fighter jet conduct 
103,"Those with high stages of cancer often also receive chemotherapy, with surgery or without surgery, in order to decrease the risk of the cancer's recurrence, though the side effects of chemotherapy can be considerable.",cancer chemotherapy surgery surgery order decrease risk cancer recurrence side chemotherapy be 
104,Terrorists can cause damage and loss of life by taking advantage of the accessibility and low price point of devices like basic unmanned aerial vehicles combined with readily available explosive material.,cause damage loss life advantage accessibility price point material 
105,"The study was funded by Pathway Genomics, which markets a genetic test that claims to help people with their diet and fitness based on their genes.",study test help fitness 
106,"This issue, as well as the potential to regain some weight initially lost, shouldn't deter obese patients from considering operations, said Dr. John Morton, ASMBS president and head of bariatric surgery at Stanford University School of Medicine in California.",issue regain weight deter president head surgery 
107,I guess the way to describe it is that some people love pizza.,way describe pizza 
108,To accept less than what he wants would make him feel like a fool.,accept make feel fool 
109,This will ensure you are blocking out both the cancer-causing and aging rays.,ensure cancer-causing 
110,You don't get enough sunshine.,get sunshine 
111,"The researchers think sex could stimulate cell growth in the hippocampus, the area of the brain that stores memories.",sex stimulate cell growth hippocampus area brain 
112,"The vehicle can deploy its excavator arm and bucket to destroy bridges, obstacles, and more.",vehicle deploy excavator arm bucket destroy 
113,The official spoke on condition of anonymity because this person was not authorized to discuss the technique publicly.,spoke condition anonymity person discuss technique 
114,"But with the help of your dermatologist, you can find an acne treatment regimen that works for you.",help dermatologist find treatment 
115,I want to see us continue in this great leadership role.,see continue leadership role 
116,"To reach the Initial Operational Capability milestone, the base needed at least twelve combat-ready jets capable of global deployment for missions involving basic close-air support, air interdiction, and limited suppression and destruction of enemy air defense.",reach milestone base deployment support air interdiction suppression destruction enemy air defense 
117,"These cells keep dust, water and bacteria out of the eye and provide a smooth surface on the cornea to absorb and distribute oxygen and cell nutrients from tears to the rest of the cornea.",keep dust water eye provide surface cornea absorb distribute oxygen cell rest cornea 
118,"When I paid more attention in the mirror, I could actually see the lump move when I swallowed.",attention mirror see lump move 
119,Dilute your favorite salad dressing with balsamic vinegar.,Dilute vinegar 
120,"Given that, some security experts said the latest software-based delays did not surprise them.",security surprise 
121,"From the sound of a military sniper's weapon through to handguns, shotguns and rifles, this tech can distinguish and identify all different types of weapon sound signatures.",sound sniper weapon tech distinguish identify weapon sound 
122,"The jet adds power, it reduces power to change the pitch of the jet.",jet power power change pitch jet 
123,"Once breast cancer is suspected, whether it's on a diagnostic mammogram or otherwise, other tests will followusually a biopsy, because this is probably the only way to make sure you have or don't have cancer.",cancer mammogram biopsy way make have cancer 
124,"Often, patients may want these glands removed, but doing so can be dangerous, and potentially cause permanent dry mouth or bleeding that could compromise a patient's breathing at night, Shah said.",want be cause mouth bleeding compromise patient breathing night 
125,"After the mission, the pilot can easily pull the kit from the helo and then take that very same kit over to a fixed wing aircraft.",mission pilot pull kit helo take kit wing aircraft 
126,The aircraft is designed to deliver these munitions precisely on target even in adverse weather conditions.,aircraft deliver target weather 
127,It wasn't until I was in my mid-30s that I found a therapist who could move beyond the why and just see my situation at face value.,mid-30s therapist move see situation face value 
128,"But just because a guy is persistent, attentive, and doesn't wear a wedding ring doesn't mean he's available.",guy wear wedding ring mean 
129,She positioned it beside another photo of her fit and trim arm to show how lighting can affect the appearance of our skin.,photo fit arm show affect appearance skin 
130,"And, since fans usually react to social media posts instantly, advertisers get real-time feedback.",feedback 
131,"A woman is suing a nail salon in Santa Clarita, Calif., alleging a pedicure gone wrong caused her to lose a toe.",woman nail salon pedicure lose toe 
132,"It has a handle so Chris can push her, or Kellisa can wheel herself.",handle push wheel 
133,This involves injecting small thyroid cancers with alcohol using guided ultrasound imaging to ensure precise placement of the injection.,thyroid alcohol imaging ensure placement injection 
134,"Here's how to naturally boost your hormone levels and make weight loss so much easier:
1.",boost hormone make loss 
135,"Plus, vaping may have serious health consequences.",have health 
136,"Bitcoin is also wildly successful, as far as currencies go, with everyone from football teams to food shops announcing plans to accept the digital currency.",everyone football food accept currency 
137,"Once melted, transfer your mixture to a deep mixing bowl so it won't splash out.",transfer mixture mixing bowl splash 
138,But not gaining a few pounds as you try to give up cigarettes is very different from real weight loss.,give loss 
139,"Or even fly warfighters into a war zone carrying a vehicle, drop them and the vehicle off and fly back to base on autopilot.",war zone vehicle drop vehicle fly base autopilot 
140,"Salmon Essential omega-3 fatty acids, found in fish like salmon and tuna, can help reduce inflammation, enhance production of tears, and support the outer layer of the eye, Thau said.",salmon tuna help reduce inflammation enhance production support outer layer eye 
141,"Although they induce sleep more quickly, the amnesiac effect means that you are less likely to remember waking up during the night and long-term use can impact on your general health.",effect remember night use impact health 
142,"But as with any weight loss procedure, success depends on your ability to maintain a low-calorie diet.",loss procedure success ability maintain diet 
143,Essel added that this is also a healthy time to rid your mind of negative thoughts like believing men are all dogs or women are all self-centered.,time rid mind 
144,"In attempt to replicate the mountain conditions, part of the training took place at the highest airport in the United States at Leadville, Colorado.",attempt replicate mountain part training place airport 
145,"Commercial buyers and sellers of military, law enforcement, and tactical products and services also attend to get business done.",law enforcement get business 
146,"But if you're not taking a few minutes out of your day to brush your tongue as well, your oral health habits need an upgrade.",day brush tongue health upgrade 
147,"If you've ever tried following a commercial diet, you know counting calories and weighing yourself can derail your goals completely.",diet derail 
148,"The military could use the tech to map littoral ocean floors, while also conducting stealth surveillance in littoral areas in advance of upcoming missions to aid planning.",military use tech map stealth surveillance advance aid planning 
149,"Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.",stick watch decision help guide way safety 
150,Now there's a new push to open more Taco Bells in China-- and eveyrwhere else in the world.,push open world 
151,The zip off pants are marked left and right to save time.,zip save time 
152,"Using electronic attack tech, the aircraft can suppress enemy air and ground defenses.",attack tech aircraft suppress air ground 
153,"However, clothing that uses Permethrin doesn't eliminate the need for repellent on your skin, but can certainly enhance defense against Zika.",clothing eliminate need repellent skin enhance defense 
154,"This diet also tends to favor lean sources of protein like chicken or fish over red meat, which contains more saturated fat.",diet favor protein chicken fish meat fat 
155,"To have peace of mind their private data won't be exploited, consumers could use the tech to self-destruct their laptops, smart watches, fitness trackers and other wearables in addition to cell phones.",have peace be use tech self-destruct fitness addition cell 
156,Courtney Stodden wants to live the single life.,live life 
157,The general idea is to be able to make devices self-destruct remotely and vanish like vapor.,idea be make self-destruct vapor 
158,"But it is also expected that The United States will also play a role in Australia's new subs, particularly in providing weapons and integrated combat systems.",play role combat 
159,The Zephyr is designed to be autonomous so it can also fly itself without an operator directing its every move.,be fly operator move 
160,How to spot him: Mr.,spot Mr 
161,This doesn't mean Tizen smart phonesbut it could.,mean smart phonesbut 
162,You won't need those big chunks of cheese you might be tempted to add when using less flavorful versions.,need cheese be add 
163,"But it's not young children, partners or weather sabotaging our precious rest, but biology, according to American sleep researchers.",weather rest biology sleep 
164,"Its power, she said, lies in the fact that it contains lysine, an anti-inflammatory agent known to aid fat burning.",power fact agent aid burning 
165,The problem could prevent the future telescope from pointing in the right direction.,problem prevent telescope direction 
166,"Side effects of minoxidil may include a dry or itchy scalp, flaking, or skin irritation, according to information from the U.S. National Library of Medicine.",minoxidil include scalp flaking irritation information 
167,"This is the same hormone that prevents us from getting up at night to use the bathroom, Dasgupta said, and it, too, promotes relaxation.",hormone night use bathroom relaxation 
168,"Rather than carry a whole bunch of unwieldy tool options, service members like that a multi-tool puts all those options in one lightweight, organized device.",carry bunch tool service lightweight device 
169,"And, yes, we do stress how helpful it is to work with a derm to get it right.",stress work derm get 
170,"Made by Northrop Grumman, the six-and-a-half ton Hellhound can carry a driver, five passengers and the aforementioned laser weapon.",ton carry driver laser weapon 
171,"Sleek and black, it looks like something that would be a must-have for Batman.",something be 
172,"Wine molecules stimulate thousands of our mouth's taste and odor receptors, which create both a sensory and emotional reaction in our brain.",mouth taste odor reaction brain 
173,"Avoid excess alcohol and long-term estrogen replacement therapy, watch your weight, exercise regularly, and, if you have a child, be sure to breast-feed.",alcohol estrogen replacement therapy watch weight child be breast-feed 
174,"She went to six different doctors who all recommended removing her breasts immediately, as the silicone could eventually get into her blood stream and kill her.",silicone get blood stream kill 
175,"Dr. Richard D. deShazo-- lead author of  ""The Autopsy of Chicken Nuggets Reads 'Chicken Little'""-- had his team buy a box of chicken nuggets from two national food chains, the names of which they won't disclose.",deShazo author team buy box food disclose 
176,"That said, as someone in the trenches, it doesn't make treatment any easier.",someone make treatment 
177,"Some men, usually those who are young, can go back to having sex immediately, while older men may take days, weeks or month until they're rearing to go again.",go sex take month go 
178,She said it was acceptable for the government to find a way to unlock the phone but said it should reveal its method to Apple.,government find way unlock phone reveal method 
179,"Within one year, the team was able to produce a demonstrator.",year team produce demonstrator 
180,It is designed to provide high-definition images in a range of the extreme environments.,provide high-definition range 
181,"Inspired by his own childhood desire to flee urban Chicago to hike outdoors, Chris admitted that when he promised Kellisa he'd take her across the U.S., he didn't know whether it would be attainable.",childhood desire flee hike take know be 
182,Choose a tightly-woven net with enough fabric to tuck under your mattress.,Choose net fabric tuck mattress 
183,Your move: Pick up something heavy.,move something 
184,"But to minimize the risk of such infections during dental procedures, people with heart defects or a history of heart infection may be prescribed antibiotics before undergoing dental procedures, Bytyci said.",minimize risk heart history heart infection be 
185,Don't forget to incorporate some physical activity into your day as well.,forget incorporate activity day 
186,"By automating the cyber defense process with machines that can discover, confirm and fix software flaws in real-time, would-be hackers would lose a lot of the advantages they currently exploit.",cyber defense process discover confirm fix software lose lot 
187,"Drones, thanks to their small size and ability to hover low over the ground, can pose a huge security headache, as evidenced last year when a quadcopter drone crashed onto the White House grounds.",size ability hover ground pose security headache year quadcopter drone 
188,Both diets were designed to help prevent the disease from getting worse and to keep blood sugar under control without medication for as long as possible.,help prevent disease keep blood sugar control medication 
189,"But if confirmed, the newfound ripples would be amazing proof of what has long been mere theory about what happened in those first millionths of a second.",newfound be proof 
190,"Mobile phones are frequently used to improve cybersecurity, for example, as a place to send a backup code to access a website or authenticate a user.",improve cybersecurity example place send backup code access website authenticate user 
191,The shift to a floating barrel will help to improve accuracy.,shift barrel help improve accuracy 
192,"With this increased potency, parabens may have an effect at a level that could be seen in humans, Leitman said.",potency have effect level be 
193,"Tokyo Police have their own to enforce no-fly zones around the city, and similar drones were built by the South Korean military to fend off drones sent by North Korea.",enforce city fend 
194,"Along with the new price points come new menu items as well including Queso Bean Burrito, Flamin' Hot Fritos Taco, Veggie Tostada, Queso and Chips, and Queso Beef Burrito.",price come 
195,Police forces are exploring multiple methods to tackle drones.,Police tackle 
196,"Still, Leitman stressed that more studies are needed to determine the safety of the chemicals.",determine safety 
197,"While the findings suggest that diabetics might benefit from bariatric surgery in general, and gastric bypass in particular, there isn't enough long-term data yet to say whether these operations might make sense for diabetics who are not obese, said co-author Frank de Vries, a pharmacist at Maastricht University and Utrecht University in the Netherlands.",benefit surgery bypass say make sense pharmacist 
198,Gear up and protect your guests' beers from the heat with this beast.,Gear protect heat beast 
199,"Recently, a skydiving expedition comprised of military veterans tested cutting-edge gear to the max to conduct solo and tandem jump records in the Himalayas.",expedition gear max conduct solo jump 
200,"You can find advice from Rob Furlong, one of the top snipers in history, on how to make the right investments in weapons, optics gear and more on Tactical Talk.",find advice history make right Talk 
201,Highly-trained and experienced special operations jumpers can take average canopies and do amazing things.,take 
202,The melee prompted English referee Martin Atkinson to take both teams off the field.,melee referee take field 
203,Drink water.,water 
204,"It is highly improbable such beings could cover such distances without bringing along some sort of provisions,"" Moedji told the Jakarta Post.",cover sort 
205,"Finding the right skin care products for your routine can be difficult, especially if you want to avoid conventional cosmetics, harmful chemicals, or animal testing.",right skin care routine be avoid testing 
206,"And like Transformers, these vehicles can be operated by humans or can even fly or drive themselves.",be fly drive 
207,The annual competition is five grueling days designed to test the world's best snipers to the limit.,competition test world limit 
208,"Shortfin's hydroplanes will be able to retract and this plays a role in helping to reduce both drag and noise; The quieter the sub, the harder it is for bad guys to find it.",be retract role reduce drag noise quieter sub harder find 
209,"He's smart, fun, likeable, exciting, and only likes to be around such people.",fun be 
210,"Here are a just a handful of ways being in a happy marriage may boost your health:
1.",handful marriage boost health 
211,"A silicone balloon is placed into your stomach endoscopically through a tube, or you swallow it in a pill that's tethered to a small catheter.",silicone balloon stomach tube pill catheter 
212,"Now, early research suggests people's genes may predict whether they will lose weight during a weight loss program.",research predict lose weight loss program 
213,Make sure to drink water throughout the day.,sure drink water day 
214,"There are other types of bacteria that may cause serious infections after dental procedures, Bytyci said.",cause 
215,Luke and Leia had to fly their speeder bikes and navigate throughout a forest while returning fire.,fly speeder navigate forest fire 
216,"Scientists believe sperm whales the largest toothed predator on Earth secrete ambergris inside their digestive tracts to protect themselves from sharp objects, like giant squid beaks and fish bones and teeth.",sperm predator ambergris protect squid 
217,Transparent armor-ed up walls mean tourists can still enjoy an uninterrupted view while benefiting from enhanced protection.,Transparent armor-ed enjoy view protection 
218,The couple then works to remodel an older home.,couple remodel home 
219,Most women who have total breast removal get reconstructive surgery in order to create a substitute breast mound.,breast removal surgery order create substitute breast mound 
220,"But once your body acclimates to the balloon, there aren't many restrictions: just no rugby or kickboxing or any activity that could get you punched in the gut.",body balloon rugby kickboxing activity get gut 
221,That poll also indicated that Americans looking to shed pounds are more likely to try dieting than they are to exercise.,poll shed try exercise 
222,"And while it may seem like restricting your intake of food is the best way to shed pounds, consuming enough calories is actually key.",seem intake food way shed 
223,"Recently, both drones worked together to fight a fire successfully integrated into the National Airspace System.",fight fire 
224,"Since seeing outside the vehicle can be tough, egress can be a particularly dangerous moment.",vehicle be be moment 
225,"A module that pumps ammonia coolant to prevent equipment from overheating was still shut down early Sunday, Aug. 1.",module prevent equipment 
226,"Rastgaar sees it as valuable to law enforcement, who may need to take more extreme measures to take down drones given that it now must be registered in order to fly.",law enforcement need take take be order fly 
227,"Since then, the wheels of Kellisa's jog strollers have touched the soil at Great Smoky National Park, the red clay at national parks in Sedona and the Grand Canyon, and the grass on an island off Lake Superior.",jog soil clay grass island 
228,Some of the system's components have already been used in tests to detect and track a range of unmanned aerial vehicles.,system detect track range 
229,One idea is to take modern commercial airplane cockpits and give the best of their self-automation style capabilities to a ground vehicle.,idea take airplane give style ground vehicle 
230,"In the U.S. alone, roughly 180,000 people get these procedures each year, according to the American Society for Metabolic and Bariatric Surgery (ASMBS).",year 
231,"For beginners, this will make it easy to cock and lock.",make cock lock 
232,Militaries use a similar technology to defeat enemy snipers.,technology defeat 
233,"You might expect this speed bump to get more effective as it gets bigger, Hu said, but eyelashes that are too long might actually funnel airflow into the eye, causing more evaporation and drying the eyes.",expect speed bump get funnel eye evaporation 
234,"Making that choice can help make you look and feel more confident, Hubsher noted.",choice help make look feel 
235,It could even become a vehicle of choice to get to work and avoid that commuter traffic.,become vehicle choice get work avoid commuter traffic 
236,The challenge was to take a civilian truck and make it meet military standards and requirements.,challenge take truck make meet 
237,"Hidden throughout global seas, the giant pods would let the U.S. Navy launch surprise attacks anytime, anywhere.",let launch surprise 
238,"Its protein, whether from plants or animals, can help keep you full, she explained.",protein help keep 
239,The U.S has received permission to place a P-8 Poseidon spy plane in Singapore amid tensions with China over the South China Sea.,permission place spy plane 
240,"But since, unlike with lung cancer, there's no clear cause of breast cancer, all we can do right now is manage the risk factors.",lung cancer cause breast cancer do manage risk 
241,"If robots are deployed to go ashore first, it could save Marine lives.",go save 
242,But that doesn't mean you have to surrender in the battle of the bulge.,mean surrender battle bulge 
243,"It's still unclear as to whether these water drones will be weaponized, but if you happen to see an unmanned vessel floating around the California coast this summer, don't be alarmed.",water be see vessel coast summer be 
244,"Bitcoin's adoption has been a runaway success, as far as currencies go, with everyone from football teams to food shops announcing plans to accept the digital currency, although the value of the currency has seen dramatic ups and downs.",adoption success everyone football food accept currency value currency 
245,A race to control the Arctic has already been long underway with Russia building up its forces there.,race control 
246,"The material is currently used as a cover for the Apple handset's camera lens to keep it from damage, and, if expanded to cover the phone's face, could make the device much more durable than its predecessors.",material cover handset camera keep damage cover phone face make device 
247,Getting older is one risk you can do nothing about.,risk do nothing 
248,"Australia's Defence Force could deploy the Shortfins as intelligence-gathering platforms, but also as a forceful deterrent that stealthily patrols vast distances armed with state of the art weapons systems.",deploy deterrent state art 
