,question_output,sentence_input
11,"WhereRapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
12,"WhyIn basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
13,"Do you know whyIn basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
14,"WhatIn basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
15,"HowIn basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
16,"WhenIn basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
17,"WhereIn basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
18,"WhyIn the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
19,"Do you know whyIn the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
20,"WhatIn the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
21,"HowIn the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
22,"WhenIn the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
23,"WhereIn the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
24,"WhyJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
25,"Do you know whyJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
26,"WhatJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
27,"HowJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
28,"WhenJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
29,"WhereJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
30,"WhyJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
31,"Do you know whyJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
32,"WhatJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
33,"HowJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
34,"WhenJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
35,"WhereJust like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
36,WhyVehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
37,Do you know whyVehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
38,WhatVehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
39,HowVehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
40,WhenVehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
41,WhereVehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
42,WhyThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
43,Do you know whyThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
44,WhatThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
45,HowThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
46,WhenThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
47,WhereThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
48,WhyThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
49,Do you know whyThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
50,WhatThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
51,HowThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
52,WhenThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
53,WhereThese boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
54,WhyEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
55,Do you know whyEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
56,WhatEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
57,HowEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
58,WhenEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
59,WhereEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
60,WhyEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
61,Do you know whyEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
62,WhatEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
63,HowEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
64,WhenEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
65,WhereEvery year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
66,WhyAnd this small runway is the only area to land.,And this small runway is the only area to land.
67,Do you know whyAnd this small runway is the only area to land.,And this small runway is the only area to land.
68,WhatAnd this small runway is the only area to land.,And this small runway is the only area to land.
69,HowAnd this small runway is the only area to land.,And this small runway is the only area to land.
70,WhenAnd this small runway is the only area to land.,And this small runway is the only area to land.
71,WhereAnd this small runway is the only area to land.,And this small runway is the only area to land.
72,"WhyFor a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
73,"Do you know whyFor a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
74,"WhatFor a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
75,"HowFor a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
76,"WhenFor a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
77,"WhereFor a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
78,"WhyWith maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
79,"Do you know whyWith maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
80,"WhatWith maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
81,"HowWith maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
82,"WhenWith maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
83,"WhereWith maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
84,WhyIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
85,Do you know whyIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
86,WhatIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
87,HowIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
88,WhenIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
89,WhereIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
90,WhyIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
91,Do you know whyIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
92,WhatIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
93,HowIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
94,WhenIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
95,WhereIt is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
96,"WhyRobust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
97,"Do you know whyRobust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
98,"WhatRobust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
99,"HowRobust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
100,"WhenRobust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
101,"WhereRobust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
102,"WhyCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
103,"Do you know whyCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
104,"WhatCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
105,"HowCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
106,"WhenCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
107,"WhereCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
108,"WhyCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
109,"Do you know whyCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
110,"WhatCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
111,"HowCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
112,"WhenCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
113,"WhereCapable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
114,"WhyAmbergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
115,"Do you know whyAmbergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
116,"WhatAmbergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
117,"HowAmbergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
118,"WhenAmbergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
119,"WhereAmbergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
120,"WhyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
121,"Do you know whyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
122,"WhatThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
123,"HowThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
124,"WhenThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
125,"WhereThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
126,"WhyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
127,"Do you know whyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
128,"WhatThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
129,"HowThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
130,"WhenThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
131,"WhereThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
132,"WhyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
133,"Do you know whyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
134,"WhatThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
135,"HowThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
136,"WhenThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
137,"WhereThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
138,"WhyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
139,"Do you know whyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
140,"WhatThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
141,"HowThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
142,"WhenThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
143,"WhereThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
144,"WhyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
145,"Do you know whyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
146,"WhatThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
147,"HowThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
148,"WhenThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
149,"WhereThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
150,"WhyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
151,"Do you know whyThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
152,"WhatThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
153,"HowThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
154,"WhenThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
155,"WhereThe plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
156,"WhyTizen is a Linux-based open-source platform, which means anyone can develop apps for it.","Tizen is a Linux-based open-source platform, which means anyone can develop apps for it."
157,"Do you know whyTizen is a Linux-based open-source platform, which means anyone can develop apps for it.","Tizen is a Linux-based open-source platform, which means anyone can develop apps for it."
